word,POS,NEG,value,prop
가,1.0,0.0,POS,1.0
가격,1.0,0.0,POS,1.0
가까이,0.5,0.5,NEG,0.5
가깝,0.5,0.5,NEG,0.5
가꾸,1.0,0.0,POS,1.0
가늠,1.0,0.0,POS,1.0
가능,0.0,1.0,NEG,1.0
가도,1.0,0.0,POS,1.0
가득,0.5,0.5,NEG,0.5
가로막히,0.0,1.0,NEG,1.0
가르치,0.5,0.5,NEG,0.5
가리,1.0,0.0,POS,1.0
가사,0.0,1.0,NEG,1.0
가스,0.0,1.0,NEG,1.0
가슴,0.4,0.2,POS,0.4
가을,0.0,0.0,NEUT,1.0
가장,0.612903226,0.35483871,POS,0.612903226
가족,0.6,0.4,POS,0.6
가증,0.0,1.0,NEG,1.0
가지,0.0,1.0,NEG,1.0
가책,0.0,1.0,NEG,1.0
가출,0.0,1.0,NEG,1.0
가치,0.8,0.0,POS,0.8
가타부타,0.0,0.0,NEUT,1.0
가파르,0.0,1.0,NEG,1.0
가하,0.0,1.0,NEG,1.0
각광,1.0,0.0,POS,1.0
각국,1.0,0.0,POS,1.0
각별,1.0,0.0,POS,1.0
각별히,1.0,0.0,POS,1.0
각성,1.0,0.0,POS,1.0
각양각색,1.0,0.0,POS,1.0
각종,0.0,1.0,NEG,1.0
간,0.0,1.0,NEG,1.0
간곡,1.0,0.0,POS,1.0
간단히,1.0,0.0,POS,1.0
간밤,1.0,0.0,POS,1.0
간신히,0.0,0.5,NEG,0.5
간주,0.0,1.0,NEG,1.0
간첩,0.0,1.0,NEG,1.0
간편,1.0,0.0,POS,1.0
간호,1.0,0.0,POS,1.0
갇히,0.0,0.5,COMP,0.5
갈구,1.0,0.0,POS,1.0
갈등,0.0,1.0,NEG,1.0
갈수록,0.0,1.0,NEG,1.0
갈피,0.5,0.5,NEG,0.5
감,0.5,0.5,NEG,0.5
감각,0.0,1.0,NEG,1.0
감내,0.0,1.0,NEG,1.0
감독,0.333333333,0.333333333,NEG,0.333333333
감동,1.0,0.0,POS,1.0
감사,1.0,0.0,POS,1.0
감칠맛,1.0,0.0,POS,1.0
감탄사,1.0,0.0,POS,1.0
갑자기,0.0,0.25,NEUT,0.5
갑작스레,0.0,0.0,NEUT,1.0
값,0.8,0.2,POS,0.8
값싸,1.0,0.0,POS,1.0
강군,1.0,0.0,POS,1.0
강단,1.0,0.0,POS,1.0
강도,0.5,0.5,NEG,0.5
강력,0.5,0.5,NEG,0.5
강렬,1.0,0.0,POS,1.0
강물,0.0,1.0,NEG,1.0
강박,0.0,1.0,NEG,1.0
강요,0.0,1.0,NEG,1.0
강의,0.0,1.0,NEG,1.0
강점,1.0,0.0,POS,1.0
강제,1.0,0.0,POS,1.0
강조,0.8,0.0,POS,0.8
강하,1.0,0.0,POS,1.0
강화,0.75,0.25,POS,0.75
강화책,1.0,0.0,POS,1.0
갖,0.5,0.5,NEG,0.5
갖가지,0.0,1.0,NEG,1.0
갖추,1.0,0.0,POS,1.0
같,0.23809523800000001,0.333333333,NEG,0.333333333
같이,0.0,1.0,NEG,1.0
